,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,IOC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SBILIFE,SHREECEM,SBIN,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO
COALINDIA,0.6535457280432827,-0.17151802939298172,-0.012252942076555605,0.6973957757638474,-0.3647714825255024,-0.5814018879868018,0.5503032109012388,-0.40806939694268873,-0.21950721139429755,0.6174742595657607,1.0,-0.5883112765355284,0.6245040785902635,0.6149985018800138,0.07261465601419528,-0.5251320021847554,-0.16801925472209067,0.19699950360077775,0.8630017439292583,-0.3871751105731951,-0.3045135747581673,-0.2925123621089633,-0.5143624073370003,0.04310020795603675,0.7972386768879172,0.30298217594866816,-0.803476937674228,0.0037570260191170267,0.46191060284747,-0.46814627560759225,0.4972209307376114,0.42398977944109617,0.3927543138095763,-0.48843857391907153,0.8516772023626149,0.6256836417681557,0.20975453515776912,-0.5565508130512664,0.44369485212103027,0.30084457106583906,-0.5402440914004408,-0.37050365562978965,-0.6032604126988856,0.798823383709553,-0.628975875378052,-0.5933120858231217,-0.30341433569458465,0.7016795255375189,-0.5686426220789709,-0.4950146913584611
DIVISLAB,-0.2870142092315024,0.5648752129091738,0.4651871549373195,-0.916704462375611,0.7388451468405035,0.8800658316678829,-0.16499163997610017,0.8076698890052306,0.46192007189337225,-0.5292738034124191,-0.5883112765355284,1.0,-0.7002162983472836,-0.24813571836898343,0.2741340271302343,0.7838287207780521,0.33921220773951166,0.03993614128108529,-0.8008343257899402,0.898410108954698,0.46358444825969725,0.6468799100881687,0.9265715315217079,0.478623279814469,-0.5253745315592281,-0.22457282696843542,0.8445750528535695,0.2698082408202053,-0.060988949949134695,0.9141453413229559,-0.6088683610475325,-0.6385390707317563,-0.24499490877352115,0.7301261199851187,-0.5435151010833442,-0.8245729474096838,0.2261256206375973,0.9250333431133516,0.06502386626278829,0.24304219370163244,0.8533229868623741,0.594511886277059,0.7699807454682664,-0.8658441656853858,0.9212088085713583,0.8080179851953461,0.6843538739563392,-0.6532145572503054,0.9430152208608201,0.8561152667920554
DRREDDY,0.1729212822852327,-0.2214148353184104,-0.02348882850642908,0.8025414300500455,-0.5656030555968721,-0.7982983935621466,0.11879320665034854,-0.7739427364984961,-0.48696466995790794,0.8674263932839507,0.6245040785902635,-0.7002162983472836,1.0,0.37247675996556406,0.14048398170548468,-0.7645304403497136,-0.2534078142731426,0.05815167831835098,0.833157647020944,-0.7852240084317613,-0.3302797075218793,-0.6476542540501755,-0.799593964810087,-0.47271405505137004,0.44524167419855254,0.3680785870859936,-0.7758041435603074,-0.3774011169742283,0.10388571008998287,-0.7030005939155536,0.3478433124420338,0.8086240955571354,0.5442634737503506,-0.6710898100672097,0.5009837196737595,0.8921231364182702,-0.17277761683597093,-0.8057882823043314,0.18694308996829656,0.008780926863936804,-0.861410978048933,-0.5574350025846153,-0.5973727115736113,0.7324112915260648,-0.8375022238196784,-0.8374650229461451,-0.5905601778701819,0.756439743076451,-0.7193849360600572,-0.7875437953795511
EICHERMOT,0.5325757882295185,0.2951770699945687,0.4182902602601165,0.4083273545344244,0.10316013134780068,-0.13509579821777973,0.5671613263794434,0.03014696903185133,0.3049662866932282,0.5296819394205728,0.6149985018800138,-0.24813571836898343,0.37247675996556406,1.0,0.06658926435178784,-0.0772300186377887,0.33052113624302476,0.5842059575173704,0.5331431538929144,-0.08105236833611593,0.24028056965005418,0.14931989510056373,-0.1286235016802032,0.06843503837507939,0.6585834246812309,0.3435404505205041,-0.3226351116541361,-0.25141669290763613,0.5858304959900634,-0.22864402720776936,0.1985769974511887,0.2141545951209015,-0.0507874861559659,-0.019316969377535232,0.7109048012227177,0.18056473322695993,0.49404286254219415,-0.09721890503800433,0.67518465956137,0.23768007060794585,-0.15081016571251596,0.12892485270280257,-0.07667890005636714,0.44982595121192176,-0.33827248000858223,-0.16195781493741346,0.2352811429002785,0.1677128647637732,-0.20466608662813554,-0.13049816275715118
GRASIM,-0.16687465601874152,0.17364897901442933,0.1276186893759152,-0.15251958013029507,-0.035444696476947535,0.020650044502556503,-0.17731328597107077,-0.03364155551023904,-0.2777904703768994,0.1806227723228233,0.07261465601419528,0.2741340271302343,0.14048398170548468,0.06658926435178784,1.0,-0.1380151356692447,-0.3412618990614502,-0.03653914549601257,0.07460911465221937,0.21297552313580592,-0.18672972093373508,-0.17194067512702024,0.14729435251292647,0.20228131781829461,-0.16103452712848848,0.055054399823458396,-0.027249667279255388,0.27996128959342764,-0.10619179619439556,0.29827263385866015,-0.4844490179459207,0.20424616165571846,0.42213189776907956,-0.15677296511980202,-0.10922275110659603,-0.020553856845697792,-0.1301298665457994,0.08501016521008142,0.5393556155815452,0.5725755788561274,0.025083798742694115,-0.2619863402261918,-0.0537563090306103,-0.17229849244425174,0.17931039384849162,-0.16384774145900236,-0.016563936051772442,0.3078337114973669,0.40667198078425465,0.048064792414694864
HCLTECH,-0.036308540518820806,0.6456954846557634,0.5520964322256453,-0.79175644124444,0.8926656989357892,0.9433981231120856,0.19685752443567134,0.9316893261106777,0.8403662373719385,-0.49531731493643505,-0.5251320021847554,0.7838287207780521,-0.7645304403497136,-0.0772300186377887,-0.1380151356692447,1.0,0.7155365802507055,0.3754514721816083,-0.7761340747022974,0.8048028552481201,0.7805284692642894,0.9136258413632448,0.8607963745961649,0.4075007092032035,-0.1887619300669587,-0.28757315441479053,0.8569868612236242,0.01120399717069804,0.16516950352310691,0.7929533558878219,-0.2692305487553376,-0.8173255105671698,-0.5745529690545474,0.9342392947732935,-0.30307873864343315,-0.8397208791246414,0.5930821844229139,0.8992701795250734,0.025633230550401433,-0.10784234373543795,0.854198527097468,0.9206706374719489,0.9235840041101114,-0.6707148907514473,0.7944052855756009,0.9771908448620142,0.8953030561251096,-0.8740255549494209,0.7367692497686212,0.9342435550268948
HDFCBANK,0.2649745829418121,0.5773398427656888,0.7680715072258038,-0.2842732414363352,0.7260110179966301,0.5927692568237352,0.37701045251071297,0.6229063826716779,0.8124583410948238,0.01141940336563731,-0.16801925472209067,0.33921220773951166,-0.2534078142731426,0.33052113624302476,-0.3412618990614502,0.7155365802507055,1.0,0.647046118977859,-0.30809851381592657,0.38216659262870917,0.8358036970395427,0.792220196066422,0.46903656108912545,0.0868785739903397,0.19377243877736067,0.1432899326186398,0.4720813322534574,-0.39262194189014415,0.4391532758585218,0.3733968391898134,0.12815592005973234,-0.42117442259237,-0.48729975269074777,0.6910884306327195,0.12612873371718514,-0.4005356316061796,0.6654192612828614,0.520494335696589,0.0995383156167795,-0.20500496291125175,0.4254893928175179,0.8260030575610121,0.7293891586181125,-0.23470718961723394,0.2988650429197165,0.6338401320065076,0.7133463869108588,-0.6192614910542125,0.257644110313165,0.5098538592747518
HDFCLIFE,0.32779568863379277,0.6718831036395784,0.6282177761400887,0.04738770365413232,0.5726727684444886,0.319560374384256,0.6732262405074398,0.3306964928345029,0.7080739058965063,0.35347616325729575,0.19699950360077775,0.03993614128108529,0.05815167831835098,0.5842059575173704,-0.03653914549601257,0.3754514721816083,0.647046118977859,1.0,0.03349988155477222,0.14651189886653102,0.735203685304742,0.4217639821771147,0.16214651426674387,-0.014186675676397895,0.5903334982897372,-0.06960668796014426,0.05187398092021254,-0.5515741359613292,0.3619943585184736,0.12990959738851945,-0.0006138919565421412,-0.19735568293012137,-0.27639165652356473,0.43601751639510494,0.5169983554798936,-0.07732379784789092,0.7699506853897862,0.25543261119009847,0.6299946902975812,-0.07823338858866903,0.0639780403475911,0.6052359476534229,0.44581347726136633,0.12491842517620755,-0.07412494591460671,0.2354689525267922,0.5649702079229024,-0.24728828379061757,0.12272291145312954,0.278088531471303
HEROMOTOCO,0.49586355976141205,-0.3844087110493973,-0.1406867151826135,0.9043404889419017,-0.6606107459503497,-0.8445521207377769,0.3130068385533951,-0.691094074526144,-0.46094544124617376,0.7261497252520605,0.8630017439292583,-0.8008343257899402,0.833157647020944,0.5331431538929144,0.07460911465221937,-0.7761340747022974,-0.30809851381592657,0.03349988155477222,1.0,-0.6914030420298808,-0.4785675772227447,-0.5508694395643637,-0.7712925241630783,-0.1841192223456765,0.6520993397078199,0.4044680519576405,-0.9090368822468988,-0.10359915211738877,0.3301654883111476,-0.6938519744328805,0.546391316975129,0.7317366062178119,0.49333524417610747,-0.7368779582561477,0.7162970196361268,0.825419198019107,-0.09001041285722414,-0.8125723312831351,0.29014179054227085,0.17658505223773682,-0.7652414006239979,-0.6019299423096979,-0.7723755681947155,0.897283745095127,-0.828984293328615,-0.8257618245496244,-0.5562950355056265,0.835107709923146,-0.7697882545105595,-0.7698585421917098
HINDALCO,-0.0531503574016634,0.4954645321447868,0.42222389862343407,-0.82043304096614,0.7447471014415644,0.878092897416941,0.03209401910991309,0.8647905542923193,0.5322030257024204,-0.5706094799519074,-0.3871751105731951,0.898410108954698,-0.7852240084317613,-0.08105236833611593,0.21297552313580592,0.8048028552481201,0.38216659262870917,0.14651189886653102,-0.6914030420298808,1.0,0.43939014425816336,0.7158934578652569,0.9467478368032494,0.5765959817036157,-0.3151194748528644,-0.17931813656912335,0.7531871851968848,0.4083657964466199,0.08110331104605954,0.890714361079878,-0.4887644306133091,-0.7064348510770708,-0.32002990894658623,0.7032606981428751,-0.3051447416341506,-0.8889696282011111,0.35481321200947924,0.927635084949505,0.18827402555409836,0.3884045873604697,0.8995933830253605,0.6213248214538893,0.6853388516164456,-0.7107264831100871,0.9218346431753446,0.8163783200296498,0.7402387405969086,-0.61365258871283,0.8852502656112143,0.8603475246005747
