Date,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,IOC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SBILIFE,SHREECEM,SBIN,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO,ADANIPORTS_1d,ADANIPORTS_2d,ADANIPORTS_3d,ADANIPORTS_4d,ADANIPORTS_5d,ADANIPORTS_6d,ADANIPORTS_7d,ADANIPORTS_target
2021-06-21,731.05,3068.55,739.55,4182.65,6116.0,12156.4,475.05,539.6,3648.85,960.15,147.5,4229.1,5282.0,2698.45,1496.65,982.0,1488.7,718.75,2894.85,367.6,2514.35,2516.4,631.25,204.45,112.65,1007.55,1500.3,672.95,1772.05,1467.05,776.85,6899.9,118.0,17649.15,120.95,234.85,2237.25,981.55,28225.35,419.75,671.35,3273.1,742.55,334.3,1106.15,1062.9,1742.85,772.2,6775.5,542.15,0.016209561589494596,-0.016893509335886615,-0.028930989672389,-0.0257848300389849,-0.020244853293208336,-0.027426304630326182,-0.03741194172765189,-1
2021-06-22,742.9,3010.8,739.35,4221.6,6016.8,12131.65,473.65,536.4,3650.9,955.85,148.7,4288.75,5308.35,2718.2,1496.3,980.1,1483.8,716.75,2907.05,367.55,2490.25,2522.9,630.85,205.1,113.85,1000.1,1511.85,675.25,1757.1,1499.2,775.2,7265.4,118.3,17436.55,122.05,234.05,2225.75,1007.0,29239.05,418.65,666.8,3301.2,756.7,337.9,1112.3,1057.2,1757.0,802.5,6858.95,556.55,-0.03257504374747602,-0.04442051420110378,-0.04132453896890555,-0.035872930407861055,-0.042939830394400295,-0.052766186566159556,-0.05357383227890693,-1
2021-06-23,718.7,2987.35,732.35,4198.6,6015.6,12282.25,469.6,534.05,3659.3,957.75,148.45,4224.6,5299.35,2728.6,1498.75,972.9,1485.5,717.75,2928.35,368.1,2480.5,2497.2,624.7,203.95,112.9,999.55,1503.15,665.5,1736.7,1479.25,781.95,7432.7,117.25,17414.8,123.35,232.25,2205.35,1000.55,28867.2,418.85,665.25,3261.4,757.85,335.25,1100.1,1056.45,1782.55,804.0,6903.35,540.15,-0.012244330040350727,-0.00904410741616808,-0.003408932795324955,-0.010713788785306867,-0.020871017114234034,-0.021705857798803425,-0.011548629469876259,0
2021-06-24,709.9,3043.25,739.15,4226.9,6043.6,12333.25,466.1,528.75,3689.1,950.9,146.4,4250.35,5277.65,2706.75,1498.9,989.7,1506.25,719.6,2906.95,369.05,2490.15,2487.4,634.05,203.25,111.45,1000.65,1559.2,679.0,1737.9,1504.05,791.8,7527.45,118.0,17619.75,122.0,231.15,2153.5,1002.15,28672.3,417.2,664.8,3373.6,757.45,334.65,1113.15,1080.0,1780.85,813.45,6961.95,549.05,0.0032398929426680776,0.008944921819974676,0.001549514016058632,-0.008733624454148376,-0.009578813917453098,0.000704324552753909,0.00021129736582614067,0
2021-06-25,712.2,3003.9,761.35,4196.15,6075.8,12486.6,470.05,535.1,3670.05,957.1,148.75,4248.75,5309.3,2720.8,1506.85,995.65,1515.1,725.95,2939.2,375.9,2448.65,2509.2,649.0,205.05,111.4,1012.9,1574.2,689.5,1735.0,1523.85,794.25,7649.0,116.05,17506.7,120.9,230.85,2104.45,1007.15,28729.1,428.8,672.25,3380.8,757.6,339.65,1165.25,1089.5,1753.85,805.15,6923.0,547.5,0.005686604886267838,-0.0016849199663016643,-0.011934849761303004,-0.012777309744453836,-0.002527379949452497,-0.0030188149396238287,0.0007020499859590003,0
2021-06-28,716.25,2982.95,762.4,4183.45,6037.05,12377.9,467.15,531.2,3667.25,963.05,147.2,4314.4,5404.25,2740.45,1520.6,985.3,1508.35,696.2,2943.65,382.3,2460.2,2494.95,650.3,203.6,110.85,1008.9,1571.8,695.35,1733.05,1514.45,793.5,7596.25,116.15,17506.15,122.35,231.85,2086.0,1002.1,28390.2,426.75,676.3,3336.75,765.65,342.8,1184.0,1105.1,1728.05,809.1,6869.45,547.4,-0.007329842931937173,-0.01752181500872594,-0.018359511343804504,-0.008167539267015739,-0.008656195462478249,-0.00495636998254793,0.005375218150087292,0
2021-06-29,711.0,3001.5,751.95,4124.65,6052.4,12299.9,466.25,524.95,3657.15,979.6,144.5,4356.15,5433.1,2705.1,1503.3,983.6,1502.05,686.5,2927.5,374.25,2492.55,2501.2,640.1,203.3,108.15,1018.15,1563.05,685.9,1705.85,1510.9,781.6,7487.5,117.6,17599.25,119.4,236.0,2087.8,999.4,28134.45,421.5,677.6,3340.85,758.05,341.55,1172.55,1088.15,1731.6,805.4,6824.7,542.6,-0.010267229254570963,-0.011111111111111079,-0.0008438818565401164,-0.0013361462728551975,0.002390998593530303,0.012798874824191312,0.0009845288326301624,0
2021-06-30,703.7,2992.7,748.3,4133.85,6015.85,12109.05,468.1,525.65,3649.65,971.9,146.65,4408.25,5423.05,2671.15,1498.75,983.5,1497.9,686.3,2902.6,372.05,2471.3,2475.25,630.9,202.7,107.9,1016.35,1580.8,683.9,1705.85,1500.55,777.7,7515.9,116.4,17633.0,117.7,232.4,2110.65,1008.15,27504.6,419.2,675.45,3345.75,754.4,339.6,1166.6,1095.45,1732.5,792.85,6776.0,545.65,-0.0008526360665056454,0.009521102742645917,0.009023731703850943,0.012789540997584198,0.02330538581782006,0.011368480886741509,0.03524229074889861,1
2021-07-01,703.1,3021.6,746.45,4204.55,5967.15,11816.45,462.75,522.65,3595.8,978.1,145.65,4435.7,5558.5,2675.3,1500.3,985.5,1486.75,685.75,2922.5,379.4,2478.0,2459.4,630.85,203.0,107.55,1007.7,1560.4,680.55,1716.1,1492.3,779.45,7584.4,117.35,17646.2,118.85,230.8,2097.95,1006.9,27059.95,420.4,684.15,3341.5,756.05,344.25,1163.55,1085.15,1740.3,791.5,6707.25,539.35,0.010382591381026816,0.009884795903854262,0.013653818802446342,0.02417863746266534,0.012231546010524851,0.036125728914805824,0.021262978239226186,1
2021-07-02,710.4,3005.0,750.65,4175.35,5997.75,11750.45,462.75,525.0,3545.3,979.2,147.65,4519.65,5575.7,2661.0,1489.75,984.65,1480.4,687.5,2919.85,376.05,2487.3,2475.7,640.25,202.4,108.45,1009.65,1567.8,671.3,1715.15,1485.65,782.6,7573.85,117.5,17602.0,118.45,227.95,2129.05,1007.2,27014.9,424.4,681.25,3325.45,763.6,344.9,1136.0,1089.4,1754.75,799.35,6719.9,538.6,-0.0004926801801802122,0.0032376126126127088,0.013654279279279345,0.001829954954955051,0.025478603603603635,0.01076858108108105,-0.009009009009008978,0
